VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20221026-r41074,29,0,0,0,0,0,0,11,113,449,0,0,0,0,5,5,0,276
20221031-r11075,416,0,0,1,1,1,13,49,189,923,0,0,0,0,9,10,0,650
20221103-r41075,37,0,0,0,0,2,7,84,98,362,0,0,0,0,8,16,0,282
20221107-r11076,443,0,1,0,2,3,12,121,641,1034,0,0,0,0,1,0,10,8
20221109-r41076,41,0,0,0,0,3,26,130,189,527,0,0,0,0,6,36,0,0
20221114-r11077,14,0,0,0,2,3,15,50,196,380,0,0,0,0,20,0,0,0
20221117-r41077,11,0,0,0,2,1,5,60,341,493,0,0,0,0,13,0,0,44
20221121-r11078,58,0,0,1,2,6,24,147,738,926,0,0,0,0,0,0,74,514
20221124-r41078,40,0,0,0,0,0,2,28,128,291,0,0,0,0,6,9,0,0
20221129-r11079,2,0,0,1,0,6,24,110,307,245,0,0,0,0,0,1,0,18
20221130-rd2209,21,0,0,0,3,8,14,40,47,135,0,0,0,0,0,0,0,0
20221201-r41079,37,0,0,0,0,1,3,19,110,551,0,0,0,0,3,14,0,0
20221205-r11080,43,0,0,4,11,20,27,81,233,671,0,0,0,0,0,0,2,40
20221207-rd2210,25,0,0,1,7,8,26,73,222,214,0,0,0,0,0,0,0,0
20221208-r41080,24,0,0,0,0,0,5,26,76,460,0,0,0,0,7,0,4,44
20221212-r11081,17,0,0,0,0,2,1,48,162,395,0,0,0,0,4,1,0,6
20221213-t2p157,243,10,8,13,21,131,159,227,293,435,0,0,0,0,0,0,8,580
20221214-r41081,21,0,0,0,1,3,3,29,36,321,0,0,0,0,5,29,0,376
20221219-r11082,201,0,0,1,3,37,123,274,984,1431,0,0,0,0,0,0,142,300
20221221-r41082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288
20221227-r11083,5,0,0,0,0,1,5,41,191,323,0,0,0,0,9,1,4,0
20221229-r41083,88,0,0,0,0,0,0,29,133,602,0,0,0,0,7,31,0,0
