VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20211019-t2149,91,0,0,1,2,5,10,33,66,146,0,0,0,0,0,0,0,996
20211021-r41021,425,0,0,0,0,0,7,22,144,829,0,0,0,0,36,1,0,966
20211025-r11022,93,0,0,0,0,0,11,75,122,571,0,0,0,0,6,0,0,0
20211028-r41022,221,0,0,0,1,4,36,98,304,1234,0,0,0,0,18,0,0,0
20211102-r11023,6,0,0,0,1,1,0,10,32,178,0,0,0,0,0,0,8,402
20211104-r41023,286,0,0,0,1,5,40,76,309,1272,0,0,0,0,40,5,8,0
20211108-r11024,45,0,0,0,1,5,43,102,163,544,0,0,0,0,7,0,90,0
20211111-r41024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634
20211115-r11025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792
20211118-r41025,251,0,0,0,0,0,0,15,161,1553,0,0,0,0,116,4,0,214
20211122-rd2109,80,0,0,0,0,8,6,23,124,1093,0,0,0,0,3,1,2,278
20211123-r11026,263,0,0,0,0,2,13,60,174,1451,0,0,0,0,3,0,790,0
20211125-r41026,178,0,0,0,1,0,2,15,168,783,0,0,0,0,143,0,134,0
20211129-r11027,96,0,0,0,0,2,25,82,191,476,0,0,0,0,4,0,14,168
20211130-t2p150,244,1,8,19,27,216,282,296,596,863,0,0,0,0,0,2,4,1112
20211202-r41027,415,0,0,0,0,1,1,22,108,1275,0,0,0,0,118,0,0,176
20211206-r11028,205,0,0,0,1,2,73,133,338,1119,0,0,0,0,7,0,32,0
20211209-r41028,556,0,0,1,0,0,0,9,87,752,0,0,0,0,112,1,52,10
20211213-r11029,494,0,0,0,1,6,41,134,318,1978,0,0,0,0,15,1,0,2706
20211214-rd2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,0
20211216-r41029,78,0,0,0,0,0,1,7,123,912,0,0,0,0,195,6,0,710
20211220-r11030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4594
20211222-r41030,165,0,0,0,0,0,1,22,269,1558,0,0,0,0,219,0,2,18
20211227-r11031,104,0,0,0,1,9,100,186,229,795,0,0,0,0,4,0,0,0
20211229-r41031,303,0,0,0,1,2,4,34,197,1544,0,0,0,0,216,29,12,14
20220103-r11032,485,0,0,0,1,5,13,101,586,2777,0,0,0,0,4,0,12,78
20220106-r41032,405,0,0,1,0,1,0,20,140,1208,0,0,0,0,147,0,0,0
20220110-r11033,285,0,0,0,0,1,5,44,98,512,0,0,0,0,3,0,272,0
20220111-t2p151,57,0,2,4,11,55,114,289,544,1172,0,0,0,0,4,2,168,3956
20220112-rd2201,368,0,1,0,1,2,14,84,192,939,0,0,0,0,9,0,12,0
20220113-r41033,334,0,0,0,0,0,1,10,80,467,0,0,0,0,92,0,762,0
20220118-r11034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110
20220120-r41034,576,0,0,0,0,0,0,9,49,626,0,0,0,0,54,0,0,366
20220124-r11035,18,0,0,0,0,0,0,1,7,46,0,0,0,0,0,0,4,124
20220127-r41035,507,0,0,0,0,0,0,22,217,1257,0,0,0,0,159,2,0,0
20220131-r11036,560,0,0,0,0,9,50,87,339,859,0,0,0,0,11,3,0,276
20220202-rd2202,510,1,0,0,3,6,7,80,171,621,0,0,0,0,5,0,450,0
20220203-r41036,1027,0,0,0,0,0,0,13,53,781,0,0,0,0,31,1,12,0
20220207-r11037,210,1,0,2,2,8,69,217,555,1733,0,0,0,0,9,0,8,190
20220210-r41037,154,0,0,0,3,2,0,24,173,843,0,0,0,0,242,1,0,418
20220214-r11038,198,0,1,8,2,10,37,109,342,1290,0,0,0,0,43,2,0,0
20220217-r41038,187,0,0,0,0,0,1,39,302,1355,0,0,0,0,225,1,0,8
20220224-r41039,586,0,0,0,1,0,3,29,160,1422,0,0,0,0,262,15,8,0
20220228-r11040,471,1,0,1,1,4,37,48,430,2328,0,0,0,0,7,2,0,0
20220303-r41040,623,0,0,0,0,1,16,86,369,846,0,0,0,0,273,0,24,0
20220307-r11041,152,0,0,1,0,1,5,25,78,514,0,0,0,0,0,0,0,74
20220310-r41041,528,0,0,0,0,0,3,51,190,1486,0,0,0,0,190,8,0,0
20220314-r11042,291,0,0,0,0,3,3,22,71,466,0,0,0,0,3,1,0,104
20220317-r41042,105,0,0,0,0,8,8,28,107,614,0,0,0,0,100,2,4,788
20220322-r11043,169,0,0,0,1,0,12,36,142,604,0,0,0,0,0,0,0,0
20220323-rd2203,878,0,0,0,4,6,6,49,153,600,0,0,0,0,10,0,76,0
20220324-r41043,150,0,0,0,0,4,6,40,216,981,0,0,0,0,323,26,14,0
20220328-r11044,320,0,0,0,2,3,5,47,333,2843,0,0,0,0,7,0,0,54
20220329-t2152,285,0,0,1,6,21,31,87,80,341,0,0,0,0,2,0,0,700
20220331-r41044,131,0,0,0,0,4,3,18,121,602,0,0,0,0,19,0,20,660
20220404-r11045,110,0,0,0,0,0,7,9,88,558,0,0,0,0,0,0,12,0
20220407-r41045,133,0,0,0,0,1,1,8,85,600,0,0,0,0,218,0,2,738
20220411-r11046,177,0,0,0,0,0,0,10,67,550,0,0,0,0,0,0,0,10
20220419-r11047,693,0,0,1,0,0,0,8,245,1290,0,0,0,0,1,0,44,548
20220420-rd2204,112,0,0,0,0,2,19,70,140,443,0,0,0,0,6,0,238,0
20220421-r41047,147,3,6,0,1,14,50,45,223,906,0,0,0,0,189,0,0,0
20220425-r11048,101,0,0,0,0,1,74,112,404,528,0,0,0,0,2,0,4,0
20220428-r41048,73,0,0,0,0,9,12,73,429,993,0,0,0,0,337,0,18,0
20220503-r11049,153,0,0,1,3,14,51,145,1002,2395,0,0,0,0,21,1,6,62
20220505-r41049,126,0,0,0,0,0,1,39,181,486,0,0,0,0,315,0,0,0
20220509-r11050,192,0,0,1,2,40,80,221,758,2045,0,0,0,0,9,2,6,342
20220511-rd2205,105,2,0,1,3,15,17,75,249,705,0,0,0,0,53,3,0,0
20220512-r41050,149,0,0,0,0,0,4,54,306,904,0,0,0,0,437,16,0,18
20220519-r41051,296,0,0,0,0,1,1,17,203,453,0,0,0,0,323,6,0,0
20220523-r11052,371,0,0,1,4,47,97,290,727,3081,0,0,0,0,5,3,0,58
20220531-r11053,690,0,0,2,3,9,31,139,467,2507,0,0,0,0,0,0,414,0
20220602-r41053,314,0,0,0,1,1,7,69,173,663,0,0,0,0,5,1,0,0
20220607-r11054,202,1,0,0,1,7,53,181,731,1737,0,0,0,0,2,1,0,0
20220609-r41054,439,0,0,0,0,0,1,7,106,922,0,0,0,0,81,2,0,0
20220613-r11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814
